country,year,co2,co2_per_capita,co2_5yr_rolling_mean,co2_lag1,co2_lag2,co2_lag3,co2_yoy_pct_change,ghg_intensity
Australia,1990,278.061,16.236,,,,,,0.0
Australia,1991,279.437,16.103,,278.061,,,0.4949,0.0
Australia,1992,284.433,16.208,,279.437,278.061,,1.7879,0.0
Australia,1993,288.78,16.294,,284.433,279.437,278.061,1.5283,0.0
Australia,1994,293.613,16.405,284.8648,288.78,284.433,279.437,1.6736,0.0
Australia,1995,304.962,16.853,290.245,293.613,288.78,284.433,3.8653,0.0
Australia,1996,311.851,17.036,296.7278,304.962,293.613,288.78,2.259,0.0
Australia,1997,320.243,17.306,303.8898,311.851,304.962,293.613,2.691,0.0
Australia,1998,334.038,17.861,312.9414,320.243,311.851,304.962,4.3077,0.0
Australia,1999,343.876,18.185,322.994,334.038,320.243,311.851,2.9452,0.0
Australia,2000,349.898,18.288,331.9812,343.876,334.038,320.243,1.7512,0.0
Australia,2001,357.668,18.469,341.1446,349.898,343.876,334.038,2.2206,0.0
Australia,2002,362.425,18.495,349.581,357.668,349.898,343.876,1.33,0.0
Australia,2003,370.784,18.708,356.9302,362.425,357.668,349.898,2.3064,0.0
Australia,2004,382.005,19.056,364.556,370.784,362.425,357.668,3.0263,0.0
Australia,2005,385.082,18.975,371.5928,382.005,370.784,362.425,0.8055,0.0
Australia,2006,391.373,19.007,378.3338,385.082,382.005,370.784,1.6337,0.0
Australia,2007,398.896,19.036,385.628,391.373,385.082,382.005,1.9222,0.0
Australia,2008,404.279,18.918,392.327,398.896,391.373,385.082,1.3495,0.0
Australia,2009,406.977,18.683,397.3214,404.279,398.896,391.373,0.6674,0.0
Australia,2010,405.026,18.293,401.3102,406.977,404.279,398.896,-0.4794,0.0
Australia,2011,403.874,17.966,403.8104,405.026,406.977,404.279,-0.2844,0.0
Australia,2012,405.005,17.722,405.0322,403.874,405.026,406.977,0.28,0.0
Australia,2013,397.85,17.122,403.7464,405.005,403.874,405.026,-1.7666,0.0
Australia,2014,392.61,16.639,400.873,397.85,405.005,403.874,-1.3171,0.0
Australia,2015,400.589,16.727,399.9856,392.61,397.85,405.005,2.0323,0.0
Australia,2016,409.666,16.838,401.144,400.589,392.61,397.85,2.2659,0.0
Australia,2017,413.408,16.716,402.8246,409.666,400.589,392.61,0.9134,0.0
Australia,2018,414.781,16.512,406.2108,413.408,409.666,400.589,0.3321,0.0
Australia,2019,414.925,16.283,410.6738,414.781,413.408,409.666,0.0347,0.0
Australia,2020,398.547,15.481,410.2654,414.925,414.781,413.408,-3.9472,0.0
Australia,2021,388.472,14.966,406.0266,398.547,414.925,414.781,-2.5279,0.0
Australia,2022,384.078,14.659,400.1606,388.472,398.547,414.925,-1.1311,0.0
Australia,2023,384.316,14.529,394.0676,384.078,388.472,398.547,0.062,
Australia,2024,386.732,14.477,388.429,384.316,384.078,388.472,0.6286,
Brazil,1990,218.658,1.466,,,,,,0.0
Brazil,1991,229.394,1.512,,218.658,,,4.91,0.0
Brazil,1992,233.601,1.514,,229.394,218.658,,1.834,0.0
Brazil,1993,244.306,1.558,,233.601,229.394,218.658,4.5826,0.0
Brazil,1994,254.002,1.595,235.9922,244.306,233.601,229.394,3.9688,0.0
Brazil,1995,268.678,1.661,245.9962,254.002,244.306,233.601,5.7779,0.0
Brazil,1996,289.311,1.762,257.9796,268.678,254.002,244.306,7.6795,0.0
Brazil,1997,306.949,1.842,272.6492,289.311,268.678,254.002,6.0966,0.0
Brazil,1998,317.359,1.876,287.2598,306.949,289.311,268.678,3.3914,0.0
Brazil,1999,327.256,1.907,301.9106,317.359,306.949,289.311,3.1186,0.0
Brazil,2000,340.183,1.955,316.2116,327.256,317.359,306.949,3.9501,0.0
Brazil,2001,346.166,1.963,327.5826,340.183,327.256,317.359,1.7588,0.0
Brazil,2002,347.765,1.948,335.7458,346.166,340.183,327.256,0.4619,0.0
Brazil,2003,344.645,1.908,341.203,347.765,346.166,340.183,-0.8972,0.0
Brazil,2004,361.434,1.979,348.0386,344.645,347.765,346.166,4.8714,0.0
Brazil,2005,364.371,1.973,352.8762,361.434,344.645,347.765,0.8126,0.0
Brazil,2006,368.871,1.976,357.4172,364.371,361.434,344.645,1.235,0.0
Brazil,2007,390.573,2.071,365.9788,368.871,364.371,361.434,5.8834,0.0
Brazil,2008,412.638,2.168,379.5774,390.573,368.871,364.371,5.6494,0.0
Brazil,2009,389.775,2.029,385.2456,412.638,390.573,368.871,-5.5407,0.0
Brazil,2010,440.269,2.273,400.4252,389.775,412.638,390.573,12.9547,0.0
Brazil,2011,461.911,2.365,419.0332,440.269,389.775,412.638,4.9156,0.0
Brazil,2012,497.468,2.527,440.4122,461.911,440.269,389.775,7.6978,0.0
Brazil,2013,531.569,2.678,464.1984,497.468,461.911,440.269,6.8549,0.0
Brazil,2014,556.526,2.781,497.5486,531.569,497.468,461.911,4.695,0.0
Brazil,2015,528.174,2.619,515.1296,556.526,531.569,497.468,-5.0945,0.0
Brazil,2016,491.745,2.42,521.0964,528.174,556.526,531.569,-6.8972,0.0
Brazil,2017,497.255,2.429,521.0538,491.745,528.174,556.526,1.1205,0.0
Brazil,2018,476.601,2.312,510.0602,497.255,491.745,528.174,-4.1536,0.0
Brazil,2019,476.724,2.298,494.0998,476.601,497.255,491.745,0.0258,0.0
Brazil,2020,447.999,2.147,478.0648,476.724,476.601,497.255,-6.0255,0.0
Brazil,2021,496.562,2.37,479.0282,447.999,476.724,476.601,10.84,0.0
Brazil,2022,480.058,2.283,475.5888,496.562,447.999,476.724,-3.3237,0.0
Brazil,2023,483.992,2.292,477.067,480.058,496.562,447.999,0.8195,
Brazil,2024,483.012,2.278,478.3246,483.992,480.058,496.562,-0.2025,
China,1990,2483.534,2.153,,,,,,0.0
China,1991,2619.143,2.237,,2483.534,,,5.4603,0.0
China,1992,2731.29,2.306,,2619.143,2483.534,,4.2818,0.0
China,1993,2914.284,2.434,,2731.29,2619.143,2483.534,6.6999,0.0
China,1994,3093.891,2.559,2768.4284,2914.284,2731.29,2619.143,6.163,0.0
China,1995,3351.197,2.747,2941.961,3093.891,2914.284,2731.29,8.3166,0.0
China,1996,3499.311,2.843,3117.9946,3351.197,3093.891,2914.284,4.4197,0.0
China,1997,3512.35,2.83,3274.2066,3499.311,3351.197,3093.891,0.3726,0.0
China,1998,3355.336,2.682,3362.417,3512.35,3499.311,3351.197,-4.4703,0.0
China,1999,3549.949,2.817,3453.6286,3355.336,3512.35,3499.311,5.8001,0.0
China,2000,3643.81,2.87,3512.1512,3549.949,3355.336,3512.35,2.644,0.0
China,2001,3724.114,2.912,3557.1118,3643.81,3549.949,3355.336,2.2038,0.0
China,2002,4098.181,3.185,3674.278,3724.114,3643.81,3549.949,10.0445,0.0
China,2003,4835.251,3.735,3970.261,4098.181,3724.114,3643.81,17.9853,0.0
China,2004,5210.961,4.002,4302.4634,4835.251,4098.181,3724.114,7.7702,0.0
China,2005,5881.991,4.49,4750.0996,5210.961,4835.251,4098.181,12.8773,0.0
China,2006,6486.185,4.921,5302.5138,5881.991,5210.961,4835.251,10.2719,0.0
China,2007,6974.663,5.261,5877.8102,6486.185,5881.991,5210.961,7.5311,0.0
China,2008,7492.404,5.617,6409.2408,6974.663,6486.185,5881.991,7.4232,0.0
China,2009,7881.491,5.871,6943.3468,7492.404,6974.663,6486.185,5.1931,0.0
China,2010,8610.048,6.37,7488.9582,7881.491,7492.404,6974.663,9.2439,0.0
China,2011,9520.153,6.999,8095.7518,8610.048,7881.491,7492.404,10.5703,0.0
China,2012,9767.311,7.132,8654.2814,9520.153,8610.048,7881.491,2.5962,0.0
China,2013,9942.371,7.21,9144.2748,9767.311,9520.153,8610.048,1.7923,0.0
China,2014,9976.027,7.188,9563.182,9942.371,9767.311,9520.153,0.3385,0.0
China,2015,9858.04,7.061,9812.7804,9976.027,9942.371,9767.311,-1.1827,0.0
China,2016,9748.175,6.943,9858.3848,9858.04,9976.027,9942.371,-1.1145,0.0
China,2017,10000.014,7.08,9904.9254,9748.175,9858.04,9976.027,2.5834,0.0
China,2018,10346.79,7.292,9985.8092,10000.014,9748.175,9858.04,3.4678,0.0
China,2019,10713.515,7.526,10133.3068,10346.79,10000.014,9748.175,3.5443,0.0
China,2020,10896.521,7.641,10341.003,10713.515,10346.79,10000.014,1.7082,0.0
China,2021,11284.401,7.911,10648.2482,10896.521,10713.515,10346.79,3.5597,0.0
China,2022,11711.808,8.218,10990.607,11284.401,10896.521,10713.515,3.7876,0.0
China,2023,12172.009,8.556,11355.6508,11711.808,11284.401,10896.521,3.9294,
China,2024,12289.037,8.658,11670.7552,12172.009,11711.808,11284.401,0.9615,
Germany,1990,1054.796,13.233,,,,,,0.0
Germany,1991,1016.93,12.664,,1054.796,,,-3.5899,0.0
Germany,1992,969.464,11.978,,1016.93,1054.796,,-4.6676,0.0
Germany,1993,959.386,11.774,,969.464,1016.93,1054.796,-1.0395,0.0
Germany,1994,943.228,11.535,988.7608,959.386,969.464,1016.93,-1.6842,0.0
Germany,1995,939.934,11.46,965.7884,943.228,959.386,969.464,-0.3492,0.0
Germany,1996,959.69,11.666,954.3404,939.934,943.228,959.386,2.1018,0.0
Germany,1997,931.508,11.306,946.7492,959.69,939.934,943.228,-2.9366,0.0
Germany,1998,923.499,11.261,939.5718,931.508,959.69,939.934,-0.8598,0.0
Germany,1999,895.442,10.963,930.0146,923.499,931.508,959.69,-3.0381,0.0
Germany,2000,898.976,10.99,921.823,895.442,923.499,931.508,0.3947,0.0
Germany,2001,915.255,11.171,912.936,898.976,895.442,923.499,1.8108,0.0
Germany,2002,898.834,10.952,906.4012,915.255,898.976,895.442,-1.7941,0.0
Germany,2003,894.501,10.894,900.6016,898.834,915.255,898.976,-0.4821,0.0
Germany,2004,876.57,10.678,896.8272,894.501,898.834,915.255,-2.0046,0.0
Germany,2005,867.88,10.578,890.608,876.57,894.501,898.834,-0.9914,0.0
Germany,2006,886.434,10.85,884.8438,867.88,876.57,894.501,2.1379,0.0
Germany,2007,846.153,10.408,874.3076,886.434,867.88,876.57,-4.5442,0.0
Germany,2008,856.643,10.561,866.736,846.153,886.434,867.88,1.2397,0.0
Germany,2009,789.984,9.761,849.4188,856.643,846.153,886.434,-7.7814,0.0
Germany,2010,826.705,10.228,841.1838,789.984,856.643,846.153,4.6483,0.0
Germany,2011,804.542,9.95,824.8054,826.705,789.984,856.643,-2.6809,0.0
Germany,2012,814.093,10.061,818.3934,804.542,826.705,789.984,1.1871,0.0
Germany,2013,831.746,10.263,813.414,814.093,804.542,826.705,2.1684,0.0
Germany,2014,792.584,9.74,813.934,831.746,814.093,804.542,-4.7084,0.0
Germany,2015,800.823,9.757,808.7576,792.584,831.746,814.093,1.0395,0.0
Germany,2016,797.988,9.642,807.4468,800.823,792.584,831.746,-0.354,0.0
Germany,2017,784.595,9.441,801.5472,797.988,800.823,792.584,-1.6783,0.0
Germany,2018,758.771,9.101,786.9522,784.595,797.988,800.823,-3.2914,0.0
Germany,2019,708.649,8.481,770.1652,758.771,784.595,797.988,-6.6057,0.0
Germany,2020,647.177,7.739,739.436,708.649,758.771,784.595,-8.6745,0.0
Germany,2021,677.998,8.101,715.438,647.177,708.649,758.771,4.7624,0.0
Germany,2022,667.843,7.942,692.0876,677.998,647.177,708.649,-1.4978,0.0
Germany,2023,593.766,7.023,659.0866,667.843,677.998,647.177,-11.092,
Germany,2024,572.319,6.769,631.8206,593.766,667.843,677.998,-3.612,
India,1990,577.987,0.668,,,,,,0.0
India,1991,615.388,0.696,,577.987,,,6.4709,0.0
India,1992,655.424,0.726,,615.388,577.987,,6.5058,0.0
India,1993,677.262,0.734,,655.424,615.388,577.987,3.3319,0.0
India,1994,714.043,0.759,648.0208,677.262,655.424,615.388,5.4308,0.0
India,1995,760.48,0.792,684.5194,714.043,677.262,655.424,6.5034,0.0
India,1996,823.602,0.841,726.1622,760.48,714.043,677.262,8.3003,0.0
India,1997,857.976,0.859,766.6726,823.602,760.48,714.043,4.1736,0.0
India,1998,875.783,0.86,806.3768,857.976,823.602,760.48,2.0755,0.0
India,1999,961.194,0.926,855.807,875.783,857.976,823.602,9.7525,0.0
India,2000,987.065,0.933,901.124,961.194,875.783,857.976,2.6915,0.0
India,2001,1001.198,0.929,936.6432,987.065,961.194,875.783,1.4318,0.0
India,2002,1032.75,0.941,971.598,1001.198,987.065,961.194,3.1514,0.0
India,2003,1068.398,0.957,1010.121,1032.75,1001.198,987.065,3.4518,0.0
India,2004,1134.611,0.999,1044.8044,1068.398,1032.75,1001.198,6.1974,0.0
India,2005,1195.393,1.035,1086.47,1134.611,1068.398,1032.75,5.3571,0.0
India,2006,1293.321,1.103,1144.8946,1195.393,1134.611,1068.398,8.1921,0.0
India,2007,1393.485,1.17,1217.0416,1293.321,1195.393,1134.611,7.7447,0.0
India,2008,1490.366,1.234,1301.4352,1393.485,1293.321,1195.393,6.9524,0.0
India,2009,1613.328,1.316,1397.1786,1490.366,1393.485,1293.321,8.2505,0.0
India,2010,1678.53,1.35,1493.806,1613.328,1490.366,1393.485,4.0415,0.0
India,2011,1765.695,1.4,1588.2808,1678.53,1613.328,1490.366,5.1929,0.0
India,2012,1926.986,1.507,1694.981,1765.695,1678.53,1613.328,9.1347,0.0
India,2013,1995.337,1.54,1795.9752,1926.986,1765.695,1678.53,3.547,0.0
India,2014,2148.052,1.637,1902.92,1995.337,1926.986,1765.695,7.6536,0.0
India,2015,2231.817,1.681,2013.5774,2148.052,1995.337,1926.986,3.8996,0.0
India,2016,2352.54,1.75,2130.9464,2231.817,2148.052,1995.337,5.4092,0.0
India,2017,2425.722,1.784,2230.6936,2352.54,2231.817,2148.052,3.1108,0.0
India,2018,2595.227,1.888,2350.6716,2425.722,2352.54,2231.817,6.9878,0.0
India,2019,2611.175,1.88,2443.2962,2595.227,2425.722,2352.54,0.6145,0.0
India,2020,2422.732,1.727,2481.4792,2611.175,2595.227,2425.722,-7.2168,0.0
India,2021,2675.778,1.892,2546.1268,2422.732,2611.175,2595.227,10.4447,0.0
India,2022,2831.132,1.986,2627.2088,2675.778,2422.732,2611.175,5.8059,0.0
India,2023,3062.756,2.13,2720.7146,2831.132,2675.778,2422.732,8.1813,
India,2024,3193.478,2.201,2837.1752,3062.756,2831.132,2675.778,4.2681,
Japan,1990,1154.853,9.359,,,,,,0.0
Japan,1991,1166.552,9.416,,1154.853,,,1.013,0.0
Japan,1992,1175.454,9.45,,1166.552,1154.853,,0.7631,0.0
Japan,1993,1169.328,9.367,,1175.454,1166.552,1154.853,-0.5212,0.0
Japan,1994,1223.158,9.763,1177.869,1169.328,1175.454,1166.552,4.6035,0.0
Japan,1995,1235.873,9.834,1194.073,1223.158,1169.328,1175.454,1.0395,0.0
